clip	arm	status	src_bytes	out_bytes	pct_of_src	achieved_mean	achieved_worst	chunks	wall_s	gate	param_set	applied
westworld	auto	success	155490149	59712890	38.40	71.05	63.49	26	124.1	encoded	mainline researched set	
closeenc	auto	error	409085458	409085458	100.00	0.00	0.00	0	124.0	passthrough	hdr fork defaults -- its own defaults are the recipe	
