clip	arm	status	src_bytes	out_bytes	pct_of_src	achieved_mean	achieved_worst	chunks	wall_s	gate	pinned	geom	pix_fmt	hdr_prim/trc/spc/loc	param_set	applied
captain_remux_atmos_sample	mainline_tuned	success	1359407504	365518234	26.89	72.73	49.86	29	229.9	encoded		1920x804	yuv420p10le	bt2020nc/smpte2084/bt2020/topleft	mainline researched set	
captain_remux_atmos_sample	hdr_stock	success	1359407504	423950317	31.19	78.91	68.90	29	296.2	encoded		1920x804	yuv420p10le	bt2020nc/smpte2084/bt2020/topleft	none (preset only, by request)	
